Top pages,Clicks,Impressions,CTR,Position
https://odigos.replit.app/dealer-wont-give-otd-price,2,232,0.86%,11.93
https://odigos.replit.app/car-dealer-fees-by-state,1,12,8.33%,22.67
https://odigos.replit.app/out-the-door-price,0,305,0%,23.79
https://odigos.replit.app/dealer-doc-fee,0,252,0%,42.65
https://odigos.replit.app/,0,37,0%,10.89
https://odigos.replit.app/dealer-pricing-tactics,0,23,0%,27.48
https://odigos.replit.app/are-dealer-add-ons-mandatory,0,18,0%,4.94
https://odigos.replit.app/dealer-wont-give-otd,0,16,0%,9.62
https://odigos.replit.app/dealer-add-ons-list,0,15,0%,35.93
https://odigos.replit.app/doc-fee-too-high,0,14,0%,4.71
https://odigos.replit.app/dealer-doc-fee-by-state,0,13,0%,12.69
https://odigos.replit.app/market-adjustment-fee,0,13,0%,39.77
https://odigos.replit.app/calculate-out-the-door-price,0,12,0%,4.08
https://odigos.replit.app/car-dealer-fees-list,0,11,0%,5.09
https://odigos.replit.app/dealer-changed-price-after-deposit,0,10,0%,5.9
https://odigos.replit.app/dealer-added-fees-after-agreement,0,10,0%,6.4
https://odigos.replit.app/out-the-door-price-calculator,0,6,0%,2.5
https://odigos.replit.app/monthly-payment-trap,0,5,0%,5.4
https://odigos.replit.app/car-dealer-fees-explained,0,5,0%,23.4
https://odigos.replit.app/analyze,0,4,0%,5
https://odigos.replit.app/mandatory-dealer-add-ons,0,2,0%,8
